David,Storey
Dominic,Giles
Peter,Thompson
Constantin,Welles
Harrison,Pacino
Manisha,Taylor
Harrison,Sutherland
Matthias,MacGraw
Matthias,Hannah
Matthias,Cruise
Meenakshi,Mason
Christian,Cage
Charlie,Sutherland
Charlie,Pacino
Guillaume,Jackson
Daniel,Costner
Dianne,Derek
Geraldine,Schneider
Geraldine,Martin
Guillaume,Edwards
Maurice,Mahoney
Maurice,Hasan
Diane,Higgins
Dianne,Sen
Maurice,Daltrey
Elizabeth,Brown
Diane,Mason
Dianne,Andrews
Charles,Field
Charles,Broderick
Isabella,Reed
Louis,Jackson
Louis,Edwards
Doris,Dutt
Doris,Spacek
Kristin,Malden
Sissy,Puri
Doris,Bel Geddes
Sissy,Warden
Elia,Brando
Mani,Fonda
Placido,Kubrick
Claudia,Kurosawa
Maximilian,Henner
Sachin,Spielberg
Sachin,Neeson
Sivaji,Landis
Mammutti,Pacino
Elia,Fawcett
Ishwarya,Roberts
Gustav,Steenburgen
Markus,Rampling
Goldie,Slater
Divine,Aykroyd
Dieter,Matthau
Divine,Sheen
Frederic,Grodin
Frederico,Romero
Goldie,Montand
Sidney,Capshaw
Frederico,Lyon
Eddie,Boyer
Eddie,Stern
Ernest,Weaver
Ernest,George
Ernest,Chandar
Charlotte,Kazan
Charlotte,Fonda
Dheeraj,Alexander
Gerard,Hershey
Hema,Voight
Dheeraj,Davis
Harry Dean,Fonda
Hema,Powell
Harry Mean,Peckinpah
Kathleen,Walken
Blake,Seignier
Claude,Powell
Faye,Glenn
Gerhard,Seignier
Grace,Belushi
Harry dean,Forrest
Harry dean,Cage
Lauren,Hershey
Lauren,Dench
Lauren,Altman
Mary Beth,Roberts
Matthew,Wright
Meena,Alexander
Grace,Dvrrie
Charlotte,Buckley
Gena,Harris
Gena,Curtis
Maureen,Sanders
Sean,Stockwell
Harry dean,Kinski
Kathleen,Garcia
Sean,Olin
Gerard,Dench
Gerard,Altman
Maureen,de Funes
Clint,Chapman
Clint,Gielgud
Eric,Prashant
Ingrid,Welles
Ingrid,Rampling
Cliff,Puri
Emily,Pollack
Fritz,Hackman
Cybill,Laughton
Cyndi,Griem
Cyndi,Collins
Cybill,Clapton
Luchino,Jordan
Luchino,Falk
Luchino,Bradford
Robin,Danson
Orson,Perkins
Orson,Koirala
Bryan,Huston
Bryan,Dvrrie
Ajay,Sen
Carol,Jordan
Carol,Bradford
Cary,Stockwell
Cary,Olin
Clara,Krige
Clara,Ganesan
Ajay,Andrews
Kathy,Prashant
Graham,Neeson
Ian,Chapman
Danny,Wright
Danny,Rourke
Donald,Hunter
Graham,Spielberg
Dan,Roberts
Edward,Oates
Edward,Julius
Farrah,Quinlan
Farrah,Lange
Hal,Stockwell
Malcolm,Kanth
Malcolm,Broderick
Mary,Lemmon
Mary,Collins
Matt,Gueney
Max,von Sydow
Max,Schell
Cynda,Whitcraft
Donald,Minnelli
Hannah,Broderick
Dan,Williams
Raul,Wilder
Shah Rukh,Field
Sally,Bogart
Bruce,Bates
Brooke,Shepherd
Ben,de Niro
Emmet,Walken
Ellen,Palin
Denholm,von Sydow
Ellen,Khan
Emmet,Garcia
Fred,Reynolds
Fred,Lithgow
George,Adjani
Irene,Laughton
Prem,Cardinale
Prem,Walken
Kyle,Schneider
Kyle,Martin
Meg,Derek
Shelley,Peckinpah
Prem,Garcia
Bo,Hitchcock
Bob,McCarthy
Dom,McQueen
Dom,Hoskins
Don,Siegel
Gvtz,Bradford
Holly,Kurosawa
Rob,MacLaine
Don,Barkin
Kurt,Danson
Kurt,Heard
Glenda,Dunaway
Glenda,Bates
Gtz,Falk
Hal,Olin
Hannah,Kanth
Hannah,Field
Margret,Powell
Harry Mean,Taylor
Margrit,Garner
Maria,Warden
Marilou,Landis
Marilou,Chapman
Kathy,Lambert
Helmut,Capshaw
Keir,George
Marlon,Laughton
Keir,Chandar
Marlon,Godard
Keir,Weaver
Marlon,Clapton
Kelly,Quinlan
Kelly,Lange
Ken,Glenn
Ken,Chopra
Ken,Wenders
Kenneth,Redford
Meg,Sen
Meryl,Holden
Richard,Coppola
Richard,Winters
Rick,Romero
Rick,Lyon
Ridley,Hackman
Ridley,Coyote
Ridley,Young
Rob,Russell
Robert,de Niro
Robin,Adjani
Rodolfo,Hershey
Rodolfo,Dench
Rodolfo,Altman
Roger,Mastroianni
Rolf,Ashby
Romy,Sharif
Romy,McCarthy
Rosanne,Hopkins
Rosanne,Douglas
Rosanne,Baldwin
Roxanne,Shepherd
Roxanne,Michalkow
Roy,Hulce
Roy,Dunaway
Roy,Bates
Rufus,Dvrrie
Rufus,Belushi
Sally,Edwards
Scott,Jordan
Shammi,Pacino
Sharmila,Kazan
Sharmila,Fonda
Shelley,Taylor
Shyam,Plummer
Silk,Kurosawa
Sivaji,Gielgud
M. Emmet,Stockwell
M. Emmet,Olin
Malcolm,Field
Mammutti,Sutherland
Mani,Kazan
Mani,Buckley
Margaret,Ustinov
Margaux,Krige
Margaux,Capshaw
Kevin,Goodman
Kevin,Cleveland
Kevin,Wilder
Kiefer,Reynolds
Klaus,Young
Klaus Maria,Russell
Klaus Maria,MacLaine
Kris,Harris
Kris,Curtis
Kris,de Niro
Kristin,Savage
Laurence,Seignier
Alain,Dreyfuss
Alain,Barkin
Alain,Siegel
Alan,Minnelli
Alan,Hunter
Albert,Dutt
Albert,Bel Geddes
Albert,Spacek
Alec,Moranis
Alec,Idle
Alexander,Eastwood
Alexander,Berenger
Alexander,Stanton
Alfred,Nicholson
Alfred,Johnson
Ali,Elliott
Ali,Boyer
Ali,Stern
Alice,Oates
Alice,Julius
Ally,Fawcett
Ally,Brando
Ally,Streep
Alonso,Olmos
Alonso,Kaurusmdki
Amanda,Finney
Amanda,Brown
Amanda,Tanner
Amrish,Palin
Billy,Hershey
Billy,Dench
Blake,Mastroianni
Bo,Dickinson
Bo,Ashby
Bob,Sharif
Brian,Douglas
Brian,Baldwin
Brooke,Michalkow
Bruce,Hulce
Bruce,Dunaway
Bruno,Slater
Bruno,Montand
Bryan,Belushi
Burt,Spielberg
Burt,Neeson
Buster,Jackson
Buster,Edwards
Buster,Bogart
C. Thomas,Nolte
Daniel,Loren
Daniel,Gueney
